0,,,值班经理,,,横店影视股份有限公司西安南关正街分公司,,,西安-碑林区,,,3.3-5千/月,,,09-27
1,,,糕点师,,,西安市高陵区蓝调健康烘焙馆,,,西安-高陵区,,,3-6千/月,,,09-27
2,,,保洁部,,,西安五八亚太企业管理服务有限公司,,,西安-雁塔区,,,3-4.5千/月,,,09-27
3,,,太白南路急聘送餐员+配车（管住）,,,西安贶源网络科技有限公司,,,西安,,,6-8千/月,,,09-27
4,,,西餐厅领班（大悦城）,,,蓝蛙餐饮管理（上海）有限公司Bluefrog Food & Beverage management (Shanghai) LTD,,,西安,,,4.5-6千/月,,,09-27
5,,,厨师,,,Ginkgo银杏西餐,,,西安-雁塔区,,,4-6千/月,,,09-27
6,,,餐饮店长,,,高新中大国际,,,西安-高新技术产业开发区,,,6-8千/月,,,09-27
7,,,厨师,,,吉的堡直营幼儿园少儿英语学校,,,异地招聘,,,3-4.5千/月,,,09-27
8,,,服务员,,,陕西鸿瑞实业集团有限公司,,,西安-高新技术产业开发区,,,2-4千/月,,,09-27
9,,,运营总监,,,安康市龙翔教育兴业有限公司,,,异地招聘,,,0.8-1万/月,,,09-27
10,,,收银员,,,西安美莱医学美容医院有限公司,,,西安,,,2-4千/月,,,09-27
11,,,砧板,,,西安明海餐饮有限公司,,,西安-雁塔区,,,3-4.5千/月,,,09-27
12,,,厨师长,,,陕西众家灯火餐饮管理有限公司,,,西安,,,6-8千/月,,,09-27
13,,,凤城南路直招送餐员单多多工资,,,西安浩然香商贸有限公司,,,西安-未央区,,,6-9千/月,,,09-27
14,,,西安海底捞店长助理8000起,,,四川海底捞餐饮股份有限公司西安分公司,,,西安,,,4.5-6千/月,,,09-27
15,,,快递分拣150日结,,,陕西金河洗涤有限公司,,,西安,,,3-4.5千/月,,,09-27
16,,,店长,,,陕西岭丰餐饮管理有限公司,,,西安,,,6-8千/月,,,09-27
17,,,厨师长,,,陕西华美电气有限责任公司,,,西安-临潼区,,,3-4.5千/月,,,09-27
18,,,酒吧服务员,,,西安市莲湖区贰麻酒餐馆,,,西安-莲湖区,,,3-4.5千/月,,,09-27
19,,,楼面经理（底薪+绩效+包食宿）,,,西安市雁塔区悦福瑞酒楼,,,西安-雁塔区,,,5-6千/月,,,09-27
20,,,咖啡师,,,陕西品瑞名品商贸有限公司,,,西安-新城区,,,4-6千/月,,,09-27
21,,,诚聘（美团）送餐员团队直招,,,西安迅捷餐饮管理有限责任公司,,,西安,,,6-8千/月,,,09-27
22,,,新辣道新模型服务组员工,,,西安辣之道餐饮管理有限公司,,,西安-未央区,,,3.2-4千/月,,,09-27
23,,,美团直招送餐员就近高薪,,,美团外卖,,,西安-雁塔区,,,8-10万/年,,,09-27
24,,,急招水果师,,,陕西华鲸商贸有限公司,,,西安-雁塔区,,,4.5-6千/月,,,09-27
25,,,员工食堂厨师,,,陕西西开高压开关有限公司,,,异地招聘,,,2-3千/月,,,09-27
26,,,手工制作平时假期周末日结,,,西安市大明宫遗址区四季名扬剪纸艺术工作室,,,西安,,,90元/天,,,09-27
27,,,餐厅经理,,,陕西隆昌源餐饮管理有限公司,,,西安-高新技术产业开发区,,,4-6千/月,,,09-27
28,,,厨房杂工,,,西安食神电器科技有限公司,,,西安-高新技术产业开发区,,,2-3千/月,,,09-27
29,,,见习店长（五险一金+年终奖）,,,厦门金牌厨柜股份有限公司西安分公司,,,西安-雁塔区,,,0.6-1万/月,,,09-27
